Topic Id,Top Words...
0,earth gas war soldier lord soldiers gun general battle teleport study lords weapons luke jones jo gallifrey gray clone price
1,air home capsule cage fast earth gravity escape lost motorway report miles macmillan pit javit pharmacist fifty happy oxygen engines
2,earth mum hospital news jones aliens church particles fortune road teller racnoss morgenstern blood estate past clements annalise bride soldier
3,earth kill information home chamber guard years staff guards jones engines news nurse broadcast controls wait titanic space thousand lords
4,high saved angelo vashta raffalo blink eyes isobel volcano villa malcolm flora data platform wall ella cellar dvd rotunda pyrovile
5,time man good stop people inside life world human big leave god home years run coming mind work long thought
6,circle complex burbage night streete louis fourteen lynley versailles peter hair brain dolly doll king gentlemen android stage heart young
7,daleks cybermen exterminate davros torchwood home earth world cyberleader void emperor delete cyberking caan ianto osterhagen ear planets ghosts power
8,child bomb shuttle brother hospital trine rift albion solar cardiff jim mars beam nanogenes sickbay action correct zana zu crosbie
9,roger drawing gran bliss greeves wasp industries kids eddison dame laugh isolus child classroom dale physics chandrakala suzette dog cradle
